Book_Title,Author,Barcode,Status,User
Engineering Hydrology: Principles and Practices,Victor Miguel Ponce,2010000000885,Available,nan
"Water Resources Management: Principles, Regulations, and Cases",Neil S. Grigg,2010000000892,Available,nan
Watershed Hydrology,Peter E. Black,2010000000908,Available,nan
Safety of Dams,"National Research Council, Division on Engineering and Physical Sciences, Commission on Engineering and Technical Systems, Water Science and Technology Board, Committee on Safety Criteria for Dams",2010000000915,Available,nan
Aquatic Pests on irrigation Systems,"N. E. Otto, T. R. Bartley, J. S. Thullen",2010000000939,Available,nan
Aquatic Pests on irrigation Systems,"N. E. Otto, T. R. Bartley, J. S. Thullen",2010000000946,Available,nan
Environmental Effects of Large Dams,"Wilson V. Binger, John P. Buehler, Frederick J. Clarke, E. Robert DeLuccia, Richard D. Harza, Robert B. Jansen, John C. peters, M. Frank Thomas, Wallace L. Chadwick",2010000000953,Available,nan
Handbook of Applied Hydrology: A Compendium of Water-resources Technology,Ven Te Chow,2010000000960,Available,nan
Water Supply Engineering,"Harold E. Babbitt, James J. Doland",2010000000977,Available,nan
Inspection of the Non-Federal Dams 1st Year's Progress,Department of the Army - Office of the Chief of Engineers,2010000000984,Available,nan
Inspection of Non-Federal Dams 1st Year Progress Volum II,Department of Army of the Cheif of Engineers,2010000000991,Available,nan
Landslides: Analysis and Control,Robert L. Schuster,2010000001004,Available,nan
Shore Protection Manual Volume III,Departmenty of the Amry Corps of Engineers,2010000001011,Available,nan
Water Supply and Pollution Control,"John William Clark, Warren Viessman, Mark John Hammer",2010000001028,Available,nan
Analysis and Evalutation of Pumping Test Data,"G. P. Kruseman, N. A. De Ridder",2010000001035,Available,nan
Analysis of Flow in Pipe Networks,Roland W. Jeppson,2010000001042,Available,nan
Practical Hydraulics,Andrew L. Simon,2010000001059,Available,nan
Analysis and Control of Unsteady Flow in Pipelines,Gary Z. Watters,2010000001066,Available,nan
Fluid Mechanics with Engineering Applications,"Robert L. Daugherty, Joseph B. Franzini",2010000001073,Available,nan
Engineering Hydrology (Proceedings of the Symposium Sponsored by the Hydraulics Division of the American Society of Civil Engineers Hosted by the Vir),Arlene D. Feldman,2010000001080,Available,nan
Turbulence Models and Their Applications in Hydraulics,Wolfgang Rodi,2010000001097,Available,nan
Shore Protection Manual Volume II,Department of the Army Corps of Engineers,2010000001103,Available,nan
Shore Protection Manual Volume I,Department of the Army Corps of Engineers,2010000001110,Available,nan
Fluid Mechanics with Engineering Applications,"Joseph B. Franzini, Robert L. Daugherty",2010000001127,Available,nan
Use of Geosynthetics in Dams,,2010000001134,Available,nan
"Lessons Learned from the Design, Construction and Operation of Dams and Reservoirs",USCOLD,2010000001141,Available,nan
"Celebrating the Value of Dams and Levees - Yesterday, Today and Tomorrow",U.S Society on Dams,2010000001158,Available,nan
Project Geology Report Auburn Dam Seismic Evaluation of Auburn Damsite,"Louis R Frei, Jerry Gilbert, Richard Throner, Dean Ostenaa",2010000001165,Available,nan
Seismic Design For Buildings,"TM 5-809-10, NAV FAC P-355, AFM 88-3",2010000001172,Available,nan
Guidelines for Earthquake Design and Evaluation of Structures Appurtenant to Dams,USCOLD Committee on Earthquakes,2010000001189,Available,nan
Assessment of Geotechincal Factors Affecting the Stability of the Martins Fork Dam,Marvin D Simmions,2010000001196,Available,nan
Earthquake Contry,Robert Iacopi,2010000001202,Available,nan
"Soil Dynamics Deep Stabalization, and Special Geotechnical Contruction, Design Manual 7.3",Department of the Navy,2010000001219,Available,nan
"Curwensville Lake - West Branch Susquehanna River , Pennsylvania",Department of the Army Corps of Engineers - Baltimore District,2010000001226,Available,nan
Arkansas River Lock and Dam No. 3,Department of the Army Corps of Engineers -Little Rock,2010000001233,Available,nan
Seismic Observation of Dams; Guidelines and Case Studies,Committee on Seismic Aspects of Dam Design,2010000001240,Available,nan
Little Goose Lock and Dam - Impervious Cutoffs for Landward Embankments of First Stage Cofferdam,Department of the Army Corps of Engineers - Walla Walla,2010000001257,Available,nan
Mohawk Dam Investigations of Deficiencies and Remedial Treatment,Department of the Army Corps of Engineers,2010000001264,Available,nan
Marion Lake - Seepage Investigation Report,Department of the Army Corps of Engineers - Tulsa District,2010000001271,Available,nan
Melvern Dam Stage II Excavation and Embarkment Manual,Department of the Army Corps of Engineers - Kansas City District,2010000001288,Available,nan
Water for Western Agriculture,Kenneth D. Frederick,2010000001295,Available,nan
"Soil Survey of Golden Area, Colorado",United States Department of Agriculture,2010000001301,Available,nan
Degray Dam and Lake,U.S Army of engineers Vicksburg District,2010000001318,Available,nan
Green River Dam,U.S Army of engineers Vicksburg District,2010000001325,Available,nan
Stockkton Dam,U.S Army of Engineers Kansas City District,2010000001332,Available,nan
Galisteo Dam and Lake,U.S Army of Engineers Albuquerque District,2010000001349,Available,nan
Cottonwood Springs Dam,U.S Army of Engineers Omaha District,2010000001356,Available,nan
Alamo Dam and Reservoir,U.S Army Corps of Engineers,2010000001363,Available,nan
Stillhouse Hallow Dam and Reservior,U.S Army Corps of Engineers,2010000001370,Available,nan
Eau Galle Dam,U.S Army Corps of Engineers St. Paul District,2010000001387,Available,nan
Kinzua Dam,U.S Army Corps of Engineers,2010000001394,Available,nan
Mississinewa Dam,U.S Army Corps of Engineers,2010000001400,Available,nan
Oahe Dam and Reservior,U.S Army Corps of Engineers,2010000001417,Available,nan
Garrison Dam,U.S Army Corps of Engineers Omaha District,2010000001424,Available,nan
Somerville Dam and Reservior,U.S Army Corps of Engineers,2010000001431,Available,nan
J. Percy Priest Dam Reservoir,U.S Army Corps of Engineers,2010000001448,Available,nan
Black Rock Dam and Lake,U.S Army Corps of Engineers New England District,2010000001455,Available,nan
Francis E. Walter Dam (Formerly Bear Creek Dam),U.S Army Corps of Engineers,2010000001462,Available,nan
Colebrook River Dam and Lake,U.S Army Corps of Engineers New England District,2010000001479,Available,nan
Sam Rayburn Dam and Lake,U.S Army Corps of Engineers Fort Worth District,2010000001486,Available,nan
Broken Bow Dam and Lake,U.S Army Corps of Engineers Tulsa District,2010000001493,Available,nan
Pine Creek Dam and Lake,U.S Army Corps of Engineers Tulsa District,2010000001509,Available,nan
Aylesworth Creek Dam and Lake,U.S Army Corps of Engineers Baltimore District,2010000001516,Available,nan
Foster Joseph Sayers Dam and Lake,U.S Army Corps of Engineers Baltimore District,2010000001523,Available,nan
Fishtrap Dam and Lake,U.S Army Corps of Engineers Huntington District,2010000001530,Available,nan
State of The Art For Assessing Earthquake Hazards in the United States Report 1,O. W. Nuttli,2010000001547,Available,nan
State of The Art For Assessing Earthquake Hazards in the United States Report 3,R. B. Hofmann,2010000001554,Available,nan
Lectures and Discussions By Prof. N. N. Ambraseys on Engineering Seismology and Earthquake Engineering,"S. J. Johnson, L. W. Heller",2010000001561,Available,nan
Lake Red Rock,U.S Army Corps of Engineers Rock Island District,2010000001578,Available,nan
"An Empirical Interpretation of the Effects of Topograpgy on Ground Motions of the San Fernando, California Earthquake",Frank K. Chang,2010000001585,Available,nan
Influence of Backfill Properties on the Collapse of Pipes Under Dynamic Loads,"J. L. Drake, C. E. Joachim",2010000001592,Available,nan
Influence if Sample Disturbance on Sand Response to Cyclic loading,"Kenji Mori, H. Bolton Seed, Clarence K, Chan",2010000001608,Available,nan
Construction Soils Control,U.S Army Corps of Engineers,2010000001615,Available,nan
Data Sheets Earth Dams,U.S Army Corps of Engineers,2010000001622,Available,nan
Bureau of Reclamation Strong Motion instrumentation Assessment and Prioritization Tool,"Jon Ake, Dave Gillette, Dan O’Connell, Gregg Scott, Chris Wood",2010000001639,Available,nan
Earth Dams Volume II,U.S Army Corps of Engineers,2010000001646,Available,nan
Proceedings of China-US Workshop on Eathquake Behavior of Arch Dams,"R. W. Cough, Zhang Guangdou",2010000001653,Available,nan
"The December 7, 1988 Armenia, USSR Earthquake",EQE Engineering,2010000001660,Available,nan
Earthquake Engineering,Robert L. Wiegel,2010000001677,Available,nan
On Reducing Piping Uncertainties,Timo Schweckendiek,2010000001684,Available,nan
"Earthquake Country: How, Why and Where Earthquakes Strike in California",Robert Iacopi,2010000001691,Available,nan
Liquefaction of Soils During Earthquakes,Committee on Earthquake Engineering,2010000001707,Available,nan
Dam Modifications to Improve Performance During Strong Earthquakes,,2010000001714,Available,nan
Proceedings,"International Commission on Large Dams, Ad Hoc Committee on Computational Aspects of Analysis and Design of Dams (Contribution by), U. S. Committee on Large Dams Staff (Contribution by), U. S. Bureau of Reclamation Staff (Contribution by)",2010000001721,Available,nan
Shaking Table 2-D Models of a Concrete Gravity Dam for Computer Code Validation,"David W. Harris, Nathan Snorteland, Timothy Dolan, Fred Travers",2010000001738,Available,nan
Guidelines on Design Features of Dams to Effectively Resist Seismic Ground Motion,,2010000001745,Available,nan
Shaking Table Study to Investigate Failure Modes of Arch Dams,Terry Payne,2010000001752,Available,nan
Guidelines for Inspection of Dams Following Earthquakes,,2010000001769,Available,nan
Earthquakes,Bolt,2010000001776,Available,nan
"Ground Motions and Soil Liquefaction During Earthquakes (Engineering Monographs on Earthquake Criteria, Structural Design, and Strong Motion Records)","H. Bolton Seed, I. M. Idriss",2010000001783,Available,nan
"Ground Motions and Soil Liquefaction During Earthquakes (Engineering Monographs on Earthquake Criteria, Structural Design, and Strong Motion Records)","H. Bolton Seed, I. M. Idriss",2010000001790,Available,nan
The Use of Probabilities in Earthquake Engineering,"Neville C. Donovan, Ann E. Bornstein",2010000001806,Available,nan
Drilled Piers and Caissons: Proceedings of a Session,M. O'Neill,2010000001813,Available,nan
Manual of Grouting Techniques for Anchor Tendons,,2010000001820,Available,nan
Rock Grouting for Dams,A.C. Houlsby,2010000001837,Available,nan
Grouting Manual,,2010000001844,Available,nan
A Summary Report of the Foundation Grouting Research Program,,2010000001851,Available,nan
"Seepage, Drainage and Flow Nets",Harry R. Cedergren,2010000001868,Available,nan
"Seepage, Drainage and Flow Nets",Harry R. Cedergren,2010000001875,Available,nan
Risk Analysis for Dam Safety,"Robin Fell, MarkFoster, George Sills, John Cyganiewicz, Noah Vroman, Richard Davidson",2010000001882,Available,nan
Physical Properties of Plastic Pipe Used in Reclamation Toe Drains,Dam and Safety Technology Development Program,2010000001899,Available,nan
Methods for Estimating the Probability of Failure of Embankment Dams by Internal Erosion and Piping in the Foundation and From Embankment to Foundation,"Robin Fell, Chi Fai Wan",2010000001905,Available,nan
Seepage Analysis Using the Boundary Element Method,"Ashok K. Chugh, Henry T. Falvey",2010000001912,Available,nan
A Plane and Axisymmetric Finite Element Program for Steady-State and Transient Seepage Problems,F. T. Tracy,2010000001929,Available,nan
Study of Seepage Conditions at Wynoochee Dam Site,Harry R. Cedergren,2010000001936,Available,nan
Ground-Water Hydrology and Hydraulics,"David B. McWhorter, Daniel K. Sunada",2010000001943,Available,nan
Ground Water Manual,United States. Department of the Interior. Water and Power Resources Service,2010000001950,Available,nan
Ground Water Manual,"Bureau of Reclamation, U. S. Department of the Interior",2010000001967,Available,nan
Ground Water Hydrology,David Keith Todd,2010000001974,Available,nan
Groundwater and Seepage,Milton Edward Harr,2010000001981,Available,nan
Drainage for Dams and Associated Structures,,2010000001998,Available,nan
Drainage for Dams and Associated Structures,,2010000002001,Available,nan
The Physics of Flow Through Porous Media,Adrian E. Scheidegger,2010000002018,Available,nan
Drainage Manual,,2010000002025,Available,nan
handbook of Drainage and Construction Products,Neil Parrett,2010000002032,Available,nan
Earth Dams Volume III,U.S Army Corps of Engineers,2010000002049,Available,nan
Earth Dams Volume III,U.S Army Corps of Engineers,2010000002056,Available,nan
Alvin R Bush Dam Volume I,U.S Army Corps of Engineers Baltimore District,2010000002063,Available,nan
Alvin R Bush Dam Volume II,U.S Army Corps of Engineers Baltimore District,2010000002070,Available,nan
Geology Foundations and Embankment Design Part II,U.S Army Corps of Engineers Portland District,2010000002087,Available,nan
"Geology, Foundations, and Embankment Design Part I",U.S Army Corps of Engineers Portland District,2010000002094,Available,nan
"Second Powerhouse Geology, Excavation and Foundation Treatment",U.S Army Corps of Engineers Portland District,2010000002100,Available,nan
Specifications for Channel Improvement Stability Measures,U.S Army Corps of Engineers Omaha District,2010000002117,Available,nan
